0.000000000000000000e+00,2.000000000000000000e+00,3.010000000000000000e+02,3.070000000000000000e+02,3.120000000000000000e+02,3.160000000000000000e+02,3.190000000000000000e+02,3.210000000000000000e+02,3.220000000000000000e+02
2.000000000000000000e+00,3.000000000000000000e+00,4.620000000000000000e+02,4.680000000000000000e+02,4.730000000000000000e+02,4.770000000000000000e+02,4.800000000000000000e+02,4.820000000000000000e+02,4.830000000000000000e+02
3.000000000000000000e+00,4.000000000000000000e+00,5.670000000000000000e+02,5.730000000000000000e+02,5.780000000000000000e+02,5.820000000000000000e+02,5.850000000000000000e+02,5.870000000000000000e+02,5.880000000000000000e+02
4.000000000000000000e+00,5.000000000000000000e+00,4.900000000000000000e+02,4.960000000000000000e+02,5.010000000000000000e+02,5.050000000000000000e+02,5.080000000000000000e+02,5.100000000000000000e+02,5.110000000000000000e+02
5.000000000000000000e+00,1.000000000000000000e+00,1.060000000000000000e+02,1.140000000000000000e+02,1.210000000000000000e+02,1.270000000000000000e+02,1.320000000000000000e+02,1.360000000000000000e+02,1.390000000000000000e+02
1.000000000000000000e+00,6.000000000000000000e+00,1.540000000000000000e+02,1.600000000000000000e+02,1.650000000000000000e+02,1.690000000000000000e+02,1.720000000000000000e+02,1.740000000000000000e+02,1.750000000000000000e+02
6.000000000000000000e+00,7.000000000000000000e+00,5.890000000000000000e+02,5.900000000000000000e+02,5.910000000000000000e+02,5.920000000000000000e+02,5.930000000000000000e+02,5.940000000000000000e+02,5.950000000000000000e+02
7.000000000000000000e+00,8.000000000000000000e+00,4.280000000000000000e+02,4.290000000000000000e+02,4.300000000000000000e+02,4.310000000000000000e+02,4.320000000000000000e+02,4.330000000000000000e+02,4.340000000000000000e+02
8.000000000000000000e+00,9.000000000000000000e+00,1.830000000000000000e+02,1.900000000000000000e+02,1.960000000000000000e+02,2.010000000000000000e+02,2.050000000000000000e+02,2.080000000000000000e+02,2.100000000000000000e+02
9.000000000000000000e+00,0.000000000000000000e+00,2.240000000000000000e+02,2.300000000000000000e+02,2.350000000000000000e+02,2.390000000000000000e+02,2.420000000000000000e+02,2.440000000000000000e+02,2.450000000000000000e+02
